City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hermanus,26,ZA,1555722083,85,-34.42,19.24,59.0,19.35
Lebu,67,ET,1555722586,84,8.96,38.73,57.19,2.73
Busselton,80,AU,1555722323,93,-33.64,115.35,51.01,18.16
Jamestown,0,AU,1555722589,17,-33.21,138.6,82.53,18.03
Cidreira,39,BR,1555722590,77,-30.17,-50.22,70.56,4.27
Kodiak,1,US,1555722530,4,39.95,-94.76,62.6,6.93
Albany,90,US,1555722271,100,42.65,-73.75,68.0,4.7
Niceville,90,US,1555722214,62,30.52,-86.48,62.6,10.29
Ushuaia,20,AR,1555718400,81,-54.81,-68.31,44.6,38.03
Cape Town,75,ZA,1555722363,93,-33.93,18.42,60.8,10.29
Ngunguru,82,NZ,1555722485,75,-35.62,174.5,66.0,5.99
Saint-Philippe,90,CA,1555722595,93,45.36,-73.48,42.8,19.46
Castro,90,CL,1555718400,87,-42.48,-73.76,50.0,4.7
Kurumkan,100,RU,1555722601,93,54.33,110.32,7.63,11.59
Airai,8,TL,1555722602,65,-8.93,125.41,80.59,4.72
Qaanaaq,98,GL,1555722603,82,77.48,-69.36,-16.74,2.91
Bluff,0,AU,1555722604,53,-23.58,149.07,79.2,16.87
Bosobolo,100,CD,1555722605,89,4.19,19.88,72.06,2.68
Kudahuvadhoo,80,MV,1555722607,71,2.67,72.89,85.93,12.37
Bodden Town,20,KY,1555722004,69,19.28,-81.25,82.4,10.29
Dikson,94,RU,1555722609,100,73.51,80.55,-8.64,2.24
Barrow,0,AR,1555722610,69,-38.31,-60.23,55.42,4.32
Ambovombe,28,MG,1555722611,76,-25.18,46.09,76.95,26.17
Dongsheng,35,CN,1555722613,69,29.72,112.52,65.47,11.01
Shunyi,40,CN,1555722607,81,40.13,116.65,52.0,2.24
Victoria,75,BN,1555720200,88,5.28,115.24,82.4,2.24
Punta Arenas,75,CL,1555722190,76,-53.16,-70.91,48.2,32.21
Mataura,100,NZ,1555722607,96,-46.19,168.86,54.0,2.73
Butaritari,100,KI,1555722619,78,3.07,172.79,82.62,22.08
Newport,77,GB,1555722554,76,51.59,-3.0,57.0,9.17
Millinocket,90,US,1555722527,87,45.66,-68.71,57.99,3.36
Florianopolis,0,BR,1555722306,88,-27.6,-48.55,73.4,4.7
Yulara,76,AU,1555718400,20,-25.24,130.99,77.0,5.82
Mahebourg,75,MU,1555722542,83,-20.41,57.7,78.8,11.41
Lata,2,IN,1555722626,51,30.78,78.62,20.38,11.05
Masvingo,0,ZW,1555722627,83,-20.08,30.83,61.51,2.1
Kaitangata,100,NZ,1555722516,88,-46.28,169.85,55.99,3.0
Kavieng,100,PG,1555722630,72,-2.57,150.8,84.89,7.81
Lancaster,90,US,1555722558,94,40.04,-76.31,70.0,9.17
Bathsheba,40,BB,1555718400,78,13.22,-59.52,78.8,21.92
Bud,74,NO,1555722076,86,62.91,6.91,44.6,6.93
Pakxan,1,LA,1555722635,83,18.39,103.66,76.16,2.13
Bredasdorp,60,ZA,1555722056,82,-34.53,20.04,59.0,5.82
Burns Lake,94,CA,1555722637,47,54.23,-125.76,41.64,12.01
Boende,100,CD,1555722638,90,-0.28,20.88,73.98,2.55
Guerrero Negro,94,MX,1555722639,78,27.97,-114.04,63.94,13.78
Carroll,0,AU,1555722098,44,-30.99,150.44,78.01,10.29
Mukhen,6,RU,1555722642,60,48.19,136.14,40.12,1.19
Port Alfred,97,ZA,1555722459,71,-33.59,26.89,66.0,8.99
Hilo,40,US,1555722625,57,19.71,-155.08,80.6,12.75
Nantucket,90,US,1555722500,93,41.28,-70.1,64.0,9.17
Meulaboh,100,ID,1555722365,76,4.14,96.13,82.44,6.58
Rikitea,22,PF,1555722647,78,-23.12,-134.97,79.08,11.05
Bokhan,35,RU,1555722648,41,53.15,103.77,28.73,4.76
Georgetown,20,GY,1555718400,88,6.8,-58.16,78.8,9.17
Kapaa,1,US,1555722209,58,22.08,-159.32,82.4,13.87
Tessalit,0,ML,1555722652,10,20.2,1.01,85.45,6.89
Nortelandia,52,BR,1555722653,77,-14.45,-56.8,77.51,3.38
Hobart,0,AU,1555722620,62,-42.88,147.33,69.01,8.05
Aswan,0,EG,1555718400,28,24.09,32.9,68.0,3.36
East London,97,ZA,1555722435,56,-33.02,27.91,65.0,10.47
Viedma,0,AR,1555722658,66,-40.81,-62.99,59.76,13.31
North Bend,90,US,1555722321,87,43.41,-124.22,55.4,8.05
Broome,0,GB,1555722640,93,52.47,1.45,48.99,2.24
Norman Wells,90,CA,1555718400,69,65.28,-126.83,37.4,9.17
Adrar,0,DZ,1555718400,13,27.87,-0.29,71.6,8.05
Rundu,100,NA,1555718400,48,-17.91,19.77,66.2,3.36
Fairbanks,75,US,1555722359,74,64.84,-147.72,36.0,2.95
Thompson,90,CA,1555718400,93,55.74,-97.86,42.8,12.75
Bethel,90,US,1555718160,46,60.79,-161.76,30.2,4.7
Upernavik,0,GL,1555722669,69,72.79,-56.15,5.51,8.16
Alice Springs,35,AU,1555720200,26,-23.7,133.88,82.4,9.17
Romitan,18,UZ,1555718400,93,39.93,64.38,51.8,6.93
Peniche,0,PT,1555722524,82,39.36,-9.38,59.0,8.05
Yumen,31,CN,1555722673,37,40.29,97.04,53.55,1.14
Souillac,0,FR,1555722610,66,45.6,-0.6,59.0,5.82
Sangar,100,RU,1555722676,68,63.92,127.47,27.33,20.04
Omaruru,86,NA,1555722680,51,-21.42,15.95,70.49,1.86
Bambous Virieux,75,MU,1555722542,83,-20.34,57.76,78.8,11.41
Ixtapa,5,MX,1555722618,69,20.71,-105.21,78.8,5.82
Ponta do Sol,0,BR,1555722683,81,-20.63,-46.0,60.59,0.87
Khatanga,41,RU,1555722684,92,71.98,102.47,-2.88,4.81
Aguimes,75,ES,1555722629,59,27.91,-15.45,64.4,18.34
Vaini,13,IN,1555718400,83,15.34,74.49,69.8,3.36
Namibe,3,AO,1555722688,77,-15.19,12.15,75.24,9.01
Puerto Ayora,40,EC,1555722064,83,-0.74,-90.35,80.6,14.99
Hasaki,75,JP,1555722684,50,35.73,140.83,60.01,9.17
Smithers,75,CA,1555718400,36,54.78,-127.17,46.4,14.99
Yarensk,100,RU,1555722693,87,62.17,49.09,31.99,1.36
Atuona,20,PF,1555722694,71,-9.8,-139.03,83.99,10.22
Nea Stira,75,GR,1555722664,81,38.18,24.2,55.99,5.82
Ust-Kuyga,19,RU,1555722696,73,70.0,135.55,15.9,5.95
College,75,US,1555722663,74,64.86,-147.8,36.0,2.95
